Google Drive Upload Report
Target: https://drive.google.com/drive/folders/1lBx77NmmJBUlClADUEnL__mLZNcKOBmb
Total Confirmed Files: 25

TESIS_UNI_12957_Camposano_De_La_Cruz,_Alfredo_Jesús_Factores_determinantes_para_lograr_una_mejor_productividad_e.pdf | Compartido | yo | 9:19 p.m. | 2.1 MB | Más acciones (Alt + A)
TESIS_UNI_11262_Roque_Ortiz,_Edgar_Andrés_Innovación_de_taladros_largos_en_vetas_angostas.pdf | Compartido | yo | 9:19 p.m. | 8.4 MB | Más acciones (Alt + A)
TESIS_UNI_27014_Herrera_Huachuhuillca,_Álvaro_Augusto_Optimización_del_ciclo_de_producción_de_chimeneas_con_equipo.pdf | Compartido | yo | 9:19 p.m. | 2.1 MB | Más acciones (Alt + A)
TESIS_UNI_28145_Muñoz_Bernardo,_Manuel_Marcial_Mejoramiento_de_la_gestión_de_ventilación_y_las_condiciones.pdf | Compartido | yo | 9:19 p.m. | 4.3 MB | Más acciones (Alt + A)
TESIS_UNI_12665_Villafranca_Romero,_Máximo_Walter_Optimización_del_minado_en_la_mina_San_Rafael.pdf | Compartido | yo | 9:19 p.m. | 5.8 MB | Más acciones (Alt + A)
TESIS_UNI_682_Morán_Montoya,_José_Luis_Análisis_técnico_económico_para_explotar_por_taladros_largos.pdf | Compartido | yo | 9:19 p.m. | 2.7 MB | Más acciones (Alt + A)
TESIS_UNI_662_López_Félix,_Geancarlo_Antúnez_Sostenimiento_con_pernos_tipo_fore_pilling_en_la_mina_Pallca.pdf | Compartido | yo | 9:19 p.m. | 5.6 MB | Más acciones (Alt + A)
TESIS_UNI_4578_Aliaga_Aliaga,_Willam_Lionel_Reducción_del_daño_al_macizo_rocoso_circundante_ocasionado_p.pdf | Compartido | yo | 9:18 p.m. | 12 KB | Más acciones (Alt + A)
TESIS_UNI_26647_Rozan_Bravo_Milton_César_Diseño_e_implementación_de_un_sistema_de_gestión_para_increm.pdf | Compartido | yo | 9:18 p.m. | 15.8 MB | Más acciones (Alt + A)
TESIS_UNI_28470_Gaona_Qquellòn,_Alfonso_Mejora_en_la_eficiencia_del_sistema_de_ventilación_en_proyec.pdf | Compartido | yo | 9:18 p.m. | 3.5 MB | Más acciones (Alt + A)
TESIS_UNI_4929_Rojas_Cristóbal,_Oscar_Daniel_Aplicación_del_algoritmo_de_Holmberg_en_la_malla_de_perforac.pdf | Compartido | yo | 9:18 p.m. | 12 KB | Más acciones (Alt + A)
TESIS_UNI_26921_Tejada_Herrera,_Renzo_Alberto_Aplicación_de_voladura_segregada_en_vetas_de_zinc_para_dismi.pdf | Compartido | yo | 9:18 p.m. | 3.3 MB | Más acciones (Alt + A)
TESIS_UNI_9731_Quenaya_Zuñiga,_Ronald_David_Perforación_y_voladura_próximos_a_centros_poblados_caso_Soci.pdf | Compartido | yo | 9:18 p.m. | 4.4 MB | Más acciones (Alt + A)
TESIS_UNI_12716_Portilla_Barrera,_Wilfredo_Pedro_Reactivación_de_la_mina_Lourdes_mediante_la_perforación_vert.pdf | Compartido | yo | 9:18 p.m. | 8.7 MB | Más acciones (Alt + A)
TESIS_UNI_28798_Mendoza_Suárez,_César_Elías_Modelo_predictivo_del_desempeño_instántaneo_de_motores_de_co.pdf | Compartido | yo | 9:18 p.m. | 8.2 MB | Más acciones (Alt + A)
TESIS_UNI_1125_Peña_Vizarreta,_Yeison_Jehú_Modelamiento,_monitoreo_y_control_de_las_vibraciones_para_ev.pdf | Compartido | yo | 9:18 p.m. | 3.6 MB | Más acciones (Alt + A)
TESIS_UNI_24577_Chang_Wong,_Agustin_Explotación_por_el_método_de_subníveles_y_su_aplicación_en_H.pdf | Compartido | yo | 9:18 p.m. | 12 KB | Más acciones (Alt + A)
TESIS_UNI_10893_Juscamaita_Rico,_Jonny_Elaboración_y_aplicación_de_tablas_geomecánicas_GSI_para_la.pdf | Compartido | yo | 9:18 p.m. | 3 MB | Más acciones (Alt + A)
TESIS_UNI_663_Contreras_Pérez,_Willy_José_Selección_del_explosivo_adecuado_y_carga_máxima_por_retardo.pdf | Compartido | yo | 9:18 p.m. | 3.5 MB | Más acciones (Alt + A)
TESIS_UNI_668_Lanata_Rospigliosi,_Miguel_Ángel_Wilfredo_Modelamiento_de_vibraciones_en_el_campo_cercano_aplicado_a_l.pdf | Compartido | yo | 9:18 p.m. | 19 MB | Más acciones (Alt + A)
TESIS_UNI_19870_Valdez_Gutiérrez,_Ernesto_Diseño_del_sistema_de_ventilación_de_la_mina_subterránea_San.pdf | Compartido | yo | 9:17 p.m. | 12 KB | Más acciones (Alt + A)
TESIS_UNI_28608_Raymundo_Sacsara,_Cristian_Amílcar_Evaluación_del_sistema_de_ventilación_e_incremento_del_cauda.pdf | Compartido | yo | 9:17 p.m. | 4.8 MB | Más acciones (Alt + A)
TESIS_UNI_22488_Félix_López,_Rosas_Prevención_del_gaseamiento_en_uso_masivo_del_anfo_en_las_ope.pdf | Compartido | yo | 9:17 p.m. | 4.9 MB | Más acciones (Alt + A)
TESIS_UNI_29248_Flores_Llerena,_Junior_Angel_Implementación_del_sistema_de_voladura_agrupada_con_detonado.pdf | Compartido | yo | 9:17 p.m. | 3.9 MB | Más acciones (Alt + A)
TESIS_UNI_18111_Saldaña_Alarcón,_Christian_Edinson_Análisis_de_riesgo_en_operaciones_de_voladuras_superficiales.pdf | Compartido | yo | 9:17 p.m. | 12 KB | Más acciones (Alt + A)
